Year,Month,Day,Weekday,Hour,Laisvos_vietos
2023,December,1,Friday,20,35
2023,December,1,Friday,20,39
2023,December,1,Friday,21,41
2023,December,1,Friday,21,45
2023,December,1,Friday,21,46
2023,December,1,Friday,21,48
2023,December,1,Friday,21,58
2023,December,1,Friday,21,59
2023,December,1,Friday,22,60
2023,December,2,Saturday,17,47
2023,December,2,Saturday,17,48
2023,December,2,Saturday,17,45
2023,December,2,Saturday,17,47
2023,December,2,Saturday,17,49
2023,December,2,Saturday,18,48
2023,December,2,Saturday,18,48
2023,December,2,Saturday,18,47
2023,December,2,Saturday,18,45
2023,December,2,Saturday,18,41
2023,December,2,Saturday,18,39
2023,December,2,Saturday,19,40
2023,December,2,Saturday,19,39
2023,December,2,Saturday,19,39
2023,December,2,Saturday,19,41
2023,December,2,Saturday,19,43
2023,December,2,Saturday,19,41
2023,December,2,Saturday,20,40
2023,December,2,Saturday,20,40
2023,December,2,Saturday,20,40
2023,December,2,Saturday,20,44
2023,December,2,Saturday,20,48
2023,December,2,Saturday,20,51
2023,December,2,Saturday,21,52
2023,December,2,Saturday,21,52
2023,December,2,Saturday,21,54
2023,December,2,Saturday,21,54
2023,December,2,Saturday,21,59
2023,December,2,Saturday,21,59
2023,December,2,Saturday,22,60
2023,December,3,Sunday,08,54
2023,December,3,Sunday,09,53
2023,December,3,Sunday,09,53
2023,December,3,Sunday,09,54
2023,December,3,Sunday,09,46
2023,December,3,Sunday,09,46
2023,December,3,Sunday,09,43
2023,December,3,Sunday,10,42
2023,December,3,Sunday,10,37
2023,December,3,Sunday,10,36
2023,December,3,Sunday,10,40
2023,December,3,Sunday,10,40
2023,December,3,Sunday,10,42
2023,December,3,Sunday,11,44
2023,December,3,Sunday,11,44
2023,December,3,Sunday,11,40
2023,December,3,Sunday,11,40
2023,December,3,Sunday,11,42
2023,December,3,Sunday,11,41
2023,December,3,Sunday,12,41
2023,December,3,Sunday,12,37
2023,December,3,Sunday,12,41
2023,December,3,Sunday,12,42
2023,December,3,Sunday,12,42
2023,December,3,Sunday,12,36
2023,December,3,Sunday,13,29
2023,December,3,Sunday,13,32
2023,December,3,Sunday,13,32
2023,December,3,Sunday,13,29
2023,December,3,Sunday,13,27
2023,December,3,Sunday,13,27
2023,December,3,Sunday,14,28
2023,December,3,Sunday,14,29
2023,December,3,Sunday,14,28
2023,December,3,Sunday,14,28
2023,December,3,Sunday,14,30
2023,December,3,Sunday,14,41
2023,December,3,Sunday,15,41
2023,December,3,Sunday,15,41
2023,December,3,Sunday,15,39
2023,December,3,Sunday,15,34
2023,December,3,Sunday,15,27
2023,December,3,Sunday,15,29
2023,December,3,Sunday,16,30
2023,December,3,Sunday,16,30
2023,December,3,Sunday,16,29
2023,December,3,Sunday,16,14
2023,December,3,Sunday,16,8
2023,December,3,Sunday,16,8
2023,December,3,Sunday,17,2
2023,December,3,Sunday,17,0
2023,December,3,Sunday,17,0
2023,December,3,Sunday,17,4
2023,December,3,Sunday,17,7
2023,December,3,Sunday,17,10
2023,December,3,Sunday,18,8
2023,December,3,Sunday,18,4
2023,December,3,Sunday,18,0
2023,December,3,Sunday,18,14
2023,December,3,Sunday,18,14
2023,December,3,Sunday,18,24
2023,December,3,Sunday,19,27
2023,December,3,Sunday,19,26
2023,December,3,Sunday,19,29
2023,December,3,Sunday,19,25
2023,December,3,Sunday,19,25
2023,December,3,Sunday,19,32
2023,December,3,Sunday,20,37
2023,December,3,Sunday,20,37
2023,December,3,Sunday,20,42
2023,December,3,Sunday,20,42
2023,December,3,Sunday,20,40
2023,December,3,Sunday,20,42
2023,December,3,Sunday,21,47
2023,December,3,Sunday,21,53
2023,December,3,Sunday,21,57
2023,December,3,Sunday,21,57
2023,December,3,Sunday,21,59
2023,December,3,Sunday,21,60
2023,December,3,Sunday,22,60
2023,December,4,Monday,09,60
2023,December,4,Monday,11,60
2023,December,4,Monday,11,60
2023,December,4,Monday,11,60
2023,December,4,Monday,11,60
2023,December,4,Monday,12,60
2023,December,4,Monday,12,60
2023,December,4,Monday,12,60
2023,December,4,Monday,12,60
2023,December,4,Monday,12,60
2023,December,4,Monday,12,60
2023,December,4,Monday,13,55
2023,December,4,Monday,13,51
2023,December,4,Monday,13,51
2023,December,4,Monday,13,50
2023,December,4,Monday,13,49
2023,December,4,Monday,13,51
2023,December,4,Monday,14,44
2023,December,4,Monday,14,44
2023,December,4,Monday,14,44
2023,December,4,Monday,14,47
2023,December,4,Monday,14,48
2023,December,4,Monday,14,46
2023,December,4,Monday,15,47
2023,December,4,Monday,15,49
2023,December,4,Monday,15,54
2023,December,4,Monday,15,57
2023,December,4,Monday,15,57
2023,December,4,Monday,15,55
2023,December,4,Monday,16,46
2023,December,4,Monday,16,44
2023,December,4,Monday,16,42
2023,December,4,Monday,16,42
2023,December,4,Monday,16,38
2023,December,4,Monday,16,36
2023,December,4,Monday,17,34
2023,December,4,Monday,17,27
2023,December,4,Monday,17,30
2023,December,4,Monday,17,26
2023,December,4,Monday,17,29
2023,December,4,Monday,17,29
2023,December,4,Monday,18,27
2023,December,4,Monday,18,24
2023,December,4,Monday,18,26
2023,December,4,Monday,18,20
2023,December,4,Monday,18,27
2023,December,4,Monday,18,21
2023,December,4,Monday,19,19
2023,December,4,Monday,19,26
2023,December,4,Monday,19,28
2023,December,4,Monday,19,29
2023,December,4,Monday,19,29
2023,December,4,Monday,19,29
2023,December,4,Monday,20,31
2023,December,4,Monday,20,29
2023,December,4,Monday,20,30
2023,December,4,Monday,20,36
2023,December,4,Monday,20,38
2023,December,4,Monday,20,43
2023,December,4,Monday,21,47
2023,December,4,Monday,21,49
2023,December,4,Monday,21,51
2023,December,4,Monday,21,54
2023,December,4,Monday,21,55
2023,December,4,Monday,21,59
2023,December,5,Tuesday,10,38
2023,December,5,Tuesday,10,40
2023,December,5,Tuesday,10,40
2023,December,5,Tuesday,10,40
2023,December,5,Tuesday,10,40
2023,December,5,Tuesday,10,16
2023,December,5,Tuesday,11,3
2023,December,5,Tuesday,11,3
2023,December,5,Tuesday,11,3
2023,December,5,Tuesday,11,3
2023,December,5,Tuesday,11,3
2023,December,5,Tuesday,11,3
2023,December,5,Tuesday,12,13
2023,December,5,Tuesday,12,32
2023,December,5,Tuesday,12,43
2023,December,5,Tuesday,12,43
2023,December,5,Tuesday,12,42
2023,December,5,Tuesday,12,28
2023,December,5,Tuesday,13,37
2023,December,5,Tuesday,13,39
2023,December,5,Tuesday,13,38
2023,December,5,Tuesday,13,38
2023,December,5,Tuesday,13,36
2023,December,5,Tuesday,13,38
2023,December,5,Tuesday,14,39
2023,December,5,Tuesday,14,43
2023,December,5,Tuesday,14,43
2023,December,5,Tuesday,14,43
2023,December,5,Tuesday,14,43
2023,December,5,Tuesday,14,43
2023,December,5,Tuesday,15,51
2023,December,5,Tuesday,15,45
2023,December,5,Tuesday,15,45
2023,December,5,Tuesday,15,45
2023,December,5,Tuesday,15,46
2023,December,5,Tuesday,15,47
2023,December,5,Tuesday,16,47
2023,December,5,Tuesday,16,47
